Name,Mass,N_atoms,Binding Energy,Enthalpy
CO2,44,3,0.0,0.0
#CS,44,2,3200.0,65.3
#SIO,44,2,3500.0,-24.3
SIO,44,2,0.0,0.0
#CO2,44,3,2600.0,-93.96
@CH3CHO,44,7,5600.0,0.0
@CS,44,2,5600.0,65.3
@SIO,44,2,5600.0,-24.3
@CO2,44,3,5600.0,-93.96
#NH2CHO,45,6,6300.0,0.0
#HCOO,45,4,4000.0,0.0
HCOO,45,4,0.0,0.0
NH2CHO,45,6,0.0,0.0
SIOH+,45,3,0.0,0.0
HCO2+,45,4,0.0,0.0
HCS+,45,3,0.0,0.0
#HSIO,45,3,3600.0,0.0
HCS,45,3,0.0,0.0
#HCS,45,3,2900.0,71.7
@NH2CHO,45,6,5600.0,0.0
@HCOO,45,4,5600.0,0.0
@HSIO,45,3,5600.0,0.0
@HCS,45,3,5600.0,71.7
#H2SIO,46,4,4400.0,-999.0
#H2CS,46,4,4400.0,28.3
#NS,46,2,1900.0,63.8
#HCOOH,46,5,5570.0,0.0
HCOOH,46,5,0.0,0.0
#NO2,46,3,2400.0,8.8
NS,46,2,0.0,0.0
NO2,46,3,0.0,0.0
H2SIO,46,4,0.0,0.0
H2CS,46,4,0.0,0.0
H2CS+,46,4,0.0,0.0
NS+,46,2,0.0,0.0
@H2SIO,46,4,5600.0,-999.0
@H2CS,46,4,5600.0,28.3
@NS,46,2,5600.0,63.8
@HCOOH,46,5,5600.0,0.0
@NO2,46,3,5600.0,8.8
H3CS+,47,5,0.0,0.0
HNS+,47,3,0.0,0.0
#SO,48,2,2800.0,1.2
SO+,48,2,0.0,0.0
SO,48,2,0.0,0.0
@SO,48,2,5600.0,1.2
#C4H,49,5,3737.0,191.11
C4H,49,5,0.0,0.0
HSO+,49,3,0.0,0.0
@C4H,49,5,5600.0,191.11
C3N,50,4,0.0,0.0
#HC3N,51,5,4580.0,84.0
HC3N,51,5,0.0,0.0
@HC3N,51,5,5600.0,84.0
#SIC2,52,3,4300.0,149.38
SIC2+,52,3,0.0,0.0
C2N2+,52,4,0.0,0.0
SIC2,52,3,0.0,0.0
NCCN,52,4,0.0,0.0
#NCCN,52,4,3000.0,73.46
@SIC2,52,3,5600.0,149.38
@NCCN,52,4,5600.0,73.46
SIS+,60,2,0.0,0.0
#OCS,60,3,2400.0,-34.0
#SIS,60,2,3800.0,0.0
OCS,60,3,0.0,0.0
OCS+,60,3,0.0,0.0
SIS,60,2,0.0,0.0
@OCS,60,3,5600.0,-34.0
@SIS,60,2,5600.0,0.0
HOCS+,61,4,0.0,0.0
HSIS+,61,3,0.0,0.0
C4N,62,5,0.0,0.0
C4N+,62,5,0.0,0.0
#C4N,62,5,4000.0,189.0
@C4N,62,5,5600.0,189.0
SO2,64,3,0.0,0.0
SO2+,64,3,0.0,0.0
S2,64,2,0.0,0.0
SIC3,64,4,0.0,0.0
SIC3+,64,4,0.0,0.0
#SIC3,64,4,5100.0,-999.0
S2+,64,2,0.0,0.0
#SO2,64,3,3400.0,-70.3
@SIC3,64,4,5600.0,-999.0
@SO2,64,3,5600.0,-70.3
HS2,65,3,0.0,0.0
HS2+,65,3,0.0,0.0
HSO2+,65,4,0.0,0.0
#HS2,65,3,5200.0,4.0
@HS2,65,3,5600.0,4.0
H2S2+,66,4,0.0,0.0
H2S2,66,4,0.0,0.0
#H2S2,66,4,5400.0,345.8
@H2S2,66,4,5600.0,345.8
E-,0,1,0.0,0.0
BULK,999,0,999.0,999.0
SURFACE,999,0,999.0,999.0
